warehouse_id,destination_id,sku,cost_eur_per_ton
W1,D1,SKU-001,42
W1,D1,SKU-002,48
W1,D1,SKU-003,39
W1,D2,SKU-001,58
W1,D2,SKU-002,62
W1,D2,SKU-003,55
W1,D3,SKU-001,35
W1,D3,SKU-002,40
W1,D3,SKU-003,33
W2,D1,SKU-001,55
W2,D1,SKU-002,60
W2,D1,SKU-003,52
W2,D2,SKU-001,45
W2,D2,SKU-002,50
W2,D2,SKU-003,43
W2,D3,SKU-001,48
W2,D3,SKU-002,53
W2,D3,SKU-003,46
W3,D1,SKU-001,62
W3,D1,SKU-002,68
W3,D1,SKU-003,59
W3,D2,SKU-001,38
W3,D2,SKU-002,42
W3,D2,SKU-003,36
W3,D3,SKU-001,72
W3,D3,SKU-002,78
W3,D3,SKU-003,69
